circuit,precision,backend,threshold,fidelity,expected_runtime_sec
ae_indep_qiskit_130.qasm,double,CPU,1,3.3435340943511685e-23,12.428425099999004
ae_indep_qiskit_130.qasm,double,CPU,2,7.20668531328448e-05,13.313726500004122
ae_indep_qiskit_130.qasm,double,CPU,4,0.023924497072628278,21.532084099999338
ae_indep_qiskit_130.qasm,double,CPU,8,0.9886211431639623,62.91265599999315
ae_indep_qiskit_130.qasm,double,CPU,16,0.9993819448229331,343.04117060000135
ae_indep_qiskit_130.qasm,double,CPU,32,0.9999978433542261,1948.5177767999994
ae_indep_qiskit_130.qasm,double,CPU,64,,76.83209070000157
ae_indep_qiskit_130.qasm,double,CPU,128,0.9999999993789912,882.6839183999982
ae_indep_qiskit_130.qasm,double,CPU,256,0.9999999993790272,880.6506221000018
ae_indep_qiskit_130.qasm,double,CPU,512,0.9999999993790272,896.0573402000009
ae_indep_qiskit_130.qasm,single,CPU,1,8.930063368437242e-32,4.268098500004271
ae_indep_qiskit_130.qasm,single,CPU,2,1.165150279764081e-05,11.368846800003666
ae_indep_qiskit_130.qasm,single,CPU,4,0.00014001963787497893,18.561845200005337
ae_indep_qiskit_130.qasm,single,CPU,8,0.43200288920816315,48.384803799999645
ae_indep_qiskit_130.qasm,single,CPU,16,0.7119449428696776,247.8387201000005
ae_indep_qiskit_130.qasm,single,CPU,32,0.4932933006230953,2511.0997852
ae_indep_qiskit_130.qasm,single,CPU,64,,50.87925440000254
ae_indep_qiskit_130.qasm,single,CPU,128,,50.87925440000254
ae_indep_qiskit_130.qasm,single,CPU,256,,50.87925440000254
ae_indep_qiskit_130.qasm,single,CPU,512,,50.87925440000254
ae_indep_qiskit_130.qasm,double,GPU,1,9.14574204511543e-23,755.233837300002
ae_indep_qiskit_130.qasm,double,GPU,2,7.212844085635614e-05,889.7219889000044
ae_indep_qiskit_130.qasm,double,GPU,4,,65.42634140000155
ae_indep_qiskit_130.qasm,double,GPU,8,,65.42634140000155
ae_indep_qiskit_130.qasm,double,GPU,16,,65.42634140000155
ae_indep_qiskit_130.qasm,double,GPU,32,,65.42634140000155
ae_indep_qiskit_130.qasm,double,GPU,64,,65.42634140000155
ae_indep_qiskit_130.qasm,double,GPU,128,,65.42634140000155
ae_indep_qiskit_130.qasm,double,GPU,256,,65.42634140000155
ae_indep_qiskit_130.qasm,single,GPU,1,5.002778805970614e-32,669.197946500004
ae_indep_qiskit_130.qasm,single,GPU,2,1.1646749979330299e-05,759.6139137999999
ae_indep_qiskit_130.qasm,single,GPU,4,,63.71262690000003
ae_indep_qiskit_130.qasm,single,GPU,8,,63.71262690000003
ae_indep_qiskit_130.qasm,single,GPU,16,,63.71262690000003
ae_indep_qiskit_130.qasm,single,GPU,32,,63.71262690000003
ae_indep_qiskit_130.qasm,single,GPU,64,,63.71262690000003
ae_indep_qiskit_130.qasm,single,GPU,128,,63.71262690000003
ae_indep_qiskit_130.qasm,single,GPU,256,,63.71262690000003
ae_indep_qiskit_20.qasm,double,CPU,1,0.900000000000005,0.4352039999998851
ae_indep_qiskit_20.qasm,double,CPU,2,0.7595825213038911,0.5665276999998241
ae_indep_qiskit_20.qasm,double,CPU,4,0.9933106030039517,0.6676586000003226
ae_indep_qiskit_20.qasm,single,CPU,1,0.739674763568671,0.2547451999998884
ae_indep_qiskit_20.qasm,single,CPU,2,0.7598311444710958,0.37429850000035003
ae_indep_qiskit_20.qasm,single,CPU,4,0.9933355399117253,0.40565269999979137
ae_indep_qiskit_20.qasm,double,GPU,1,0.9000000000000036,3.514987099999871
ae_indep_qiskit_20.qasm,double,GPU,2,0.7595825743811969,4.360180499999842
ae_indep_qiskit_20.qasm,double,GPU,4,0.9933106318813488,6.317070000000058
ae_indep_qiskit_20.qasm,single,GPU,1,0.2821620963097113,3.011737300000277
ae_indep_qiskit_20.qasm,single,GPU,2,0.7598301106335581,4.099213999999847
ae_indep_qiskit_20.qasm,single,GPU,4,0.9933391042535065,5.349105400000099
cutbell_n30_k6.qasm,double,CPU,1,0.015625000000000007,0.5251475000000028
cutbell_n30_k6.qasm,double,CPU,2,1.0,0.26043970000000627
cutbell_n30_k6.qasm,single,CPU,1,0.015624996274709924,0.273379900000009
cutbell_n30_k6.qasm,single,CPU,2,0.9999992847443906,0.2775664000000688
cutbell_n30_k6.qasm,double,GPU,1,0.015625000000000007,0.5556483999998818
cutbell_n30_k6.qasm,double,GPU,2,1.0000000000000027,0.6615885999999591
cutbell_n30_k6.qasm,single,GPU,1,0.015624996274709924,0.2965563000000202
cutbell_n30_k6.qasm,single,GPU,2,1.0,0.3033530999998675
dj_indep_qiskit_130.qasm,double,CPU,1,0.9999999999905649,1.5769649999997455
dj_indep_qiskit_130.qasm,single,CPU,1,0.9999842644356818,0.63948019999998
dj_indep_qiskit_130.qasm,double,GPU,1,1.0000000000005929,17.80705020000005
dj_indep_qiskit_130.qasm,single,GPU,1,0.9999924898638415,14.685917599999812
dj_indep_qiskit_15.qasm,double,CPU,1,0.9999999999998832,0.2652975000000879
dj_indep_qiskit_15.qasm,single,CPU,1,0.9999979734431044,0.22376669999994192
dj_indep_qiskit_15.qasm,double,GPU,1,1.0000000000000155,0.462892199999942
dj_indep_qiskit_15.qasm,single,GPU,1,0.9999984502799326,0.30865849999986494
dj_indep_qiskit_30.qasm,double,CPU,1,0.9999999999995062,0.42782800000009047
dj_indep_qiskit_30.qasm,single,CPU,1,0.9999961853063724,0.23566930000015418
dj_indep_qiskit_30.qasm,double,GPU,1,1.0000000000000129,1.2443797000000814
dj_indep_qiskit_30.qasm,single,GPU,1,0.9999983310715133,0.9117834999999559
ghz_indep_qiskit_100.qasm,double,CPU,1,0.5000000000000001,0.30128910000030373
ghz_indep_qiskit_100.qasm,double,CPU,2,1.0,0.2988596999998663
ghz_indep_qiskit_100.qasm,single,CPU,1,0.4999999828857291,0.30189329999984693
ghz_indep_qiskit_100.qasm,single,CPU,2,0.9999997615814351,0.281761600000209
ghz_indep_qiskit_100.qasm,double,GPU,1,0.5000000000000001,0.45147390000011
ghz_indep_qiskit_100.qasm,double,GPU,2,1.0,0.6585814000000028
ghz_indep_qiskit_100.qasm,single,GPU,1,0.4999999828857291,0.41549350000013874
ghz_indep_qiskit_100.qasm,single,GPU,2,0.999999880790714,0.5879547999998067
ghz_indep_qiskit_130.qasm,double,CPU,1,0.5000000000000001,0.35236559999975725
